,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Albania,0,-1.390132813271452,1.5620413268496893,-1.8938147616770287,-0.6726225644630652,-1.0967794656016734,-2.9550555978291384,2.557518393860864,1.9478305956528952,-1.2921853584813892,0.8962790173996094,-1.4226190476190477,-2.1746677989617655,-1.7501043381705403,-1.697595728254693,1.6881905411679001,-1.9759315473251609,1.0738306052085032,5.474685215987494,-0.4456422983923725,-0.954467222276159,-0.6120200302818795,0.24151132910760645,7.255716790697535,-2.255761242346608,-1.7323575725372904,4.272530643986885,-0.3227156024105357,-2.1715390729992783,2.831585081585082,-1.7932042126318817,-1.481330656743948,-1.2825693754675105,-1.6088542348903618,-0.6893422777701265,-1.6145488890193638,2.611111111111111,-0.5093752459445655,0,-1.118253968253968,2.468643978483768,-1.1787939353223569,-1.5282604032604032,5.180487789288192,-2.5693098953925984,1.3242487831006295
Armenia,-1.5709649357916369,0,-1.2951015302931679,-1.8526046371574827,-2.7648121989264483,2.403220534398327,-1.7805677420568304,-2.110388946621296,-1.7664551186328192,-0.9746902826171119,3.0783087526508583,1.5773809523809523,-1.6119508397749733,-2.220650183150183,-1.697595728254693,3.045295605597274,7.64906845267484,-0.42697709721458094,4.975203305466463,-1.8825739657575342,-1.1983761911553952,-0.8829066714405062,-0.31638567537155465,-1.7723700668180773,-1.6542439719268989,-1.7348616224739462,1.698611111111111,2.2406218799030095,1.7052276015241357,8.922008547008547,-1.2269135627402787,-0.1910258013274702,-1.3523481938116084,0.6768600508239239,-1.9396017048135148,4.295811751363741,2.611111111111111,-1.1528126653928963,0,-1.118253968253968,0.2901016508333582,0.19528512830365002,0.701058201058201,-2.9734631293681355,0.48405228372906706,0.09790591237317815
Australia,-1.7509157509157511,-1.3743589743589741,0,0.27227476356396224,-1.407379612257661,-1.0121951219512195,2.233520950594122,0,0.9266356949283777,-0.725609756097561,-2.0947148090005236,-1.4226190476190477,0.6852497096399532,3.482905982905983,-0.5476190476190477,-0.2546553330525457,-0.9480925578486555,1.6414468226314918,-0.8225974567437982,-1.4590943319166316,0,2.380952380952381,2.0962399969368612,-2.5701777896899847,-0.3295809881175735,2.008639328151523,0,-1.8658536585365855,2.475464576074333,-1.1282051282051282,0.6326337681981472,-1.1795229161082819,-0.6805503439649779,-1.3540940766550524,-2.591828225974567,-3.248280175109444,0,-0.37086571964620746,0,-0.8412698412698413,2.8804290947148092,2.4801597937486437,0,0,-2.1662795199380565,3.7870607905451115
Austria,2.6974478853962354,0.34574055330634257,1.7048984697068323,0,-0.3368778680075214,1.178601483383255,-0.5810437745715994,1.5444968996145314,1.0906877385100382,0.09896930163877976,-1.9552738074526177,1.5773809523809526,-0.05226569734620416,-0.3489479425053289,-0.28022903318085807,0.2530301106208302,-1.7006857943796325,0.6468771020713875,-1.0091723412903042,-0.10237792804986323,-0.05338811002288929,0.872814752441225,-0.14156434653217284,-0.7500014161544728,-0.995141614103703,-1.0454957513167165,-1.1267808551089942,0.3547230650567579,-1.890203494343417,-0.10926999852357808,0.9484530913459248,-0.8637328431565924,0.6500465677377717,-0.70984613500533,-0.08298313140651503,-1.2088616176612388,-0.3888888888888889,0.527727846020143,-0.7443181818181819,-0.48833811547779776,-0.34815812056473305,0.5981782893877912,0.3223360125706183,0.13346336018866523,-2.3417042453915036,1.0454016019192758
Azerbaijan,1.7161763964991548,-2.5648260425924096,-1.4379586731503107,-2.5192713038241497,0,6.608864641277992,-3.4948534563425446,-1.1985371966501621,0.5933023615950445,-0.016768292682926827,-0.7732106480501859,-1.9226190476190474,-1.683766557932155,-0.3215329095991117,-0.8715119680734938,-1.6073003916026105,4.0882210887712445,-1.2848273776776438,1.3335705194819443,1.4434792493200705,-1.9017440523492237,-1.1638089125252156,0.9630868682024009,-2.5624650274842833,-1.2410881801125704,0.4237234607260282,-1.7317073170731707,3.9119181761993054,3.5903085966949897,-0.07799145299145294,-2.4769135627402785,-1.5727084817906383,1.2190803776169632,-1.0374256634617904,1.8588229485533723,3.2897967205380554,2.611111111111111,0.2339082018157757,0,-0.4119047619047619,-0.6980473020978247,-2.9019453881974866,-1.1150793650793651,8.250938703465982,5.511942692879791,-0.5507289537387648
Belarus,-0.4431505610694619,1.2765338533952142,1.7048984697068321,0.40618523832297154,1.5773774355369348,0,-1.0800555978291384,-2.331370495028025,-0.6235979757756763,-0.9588520251480558,0.8053699264905186,1.0773809523809523,-1.3285139528079193,-0.17867576674196886,-0.8087068393658039,-0.9229205699432108,2.2740684526748387,-1.0928360614581638,-1.0253147840125056,-1.2917961445462185,-1.2044672222761592,-1.0564644747263239,-0.42515533755906015,-3.017010482029738,-0.6843326709180368,2.904006063826346,-1.327469356013115,1.0106177309227975,0.41179426033405503,-0.9184149184149184,-0.9043153237429925,1.4472407718274807,0.09243062453248968,-0.46599709203321904,-1.9036279920558405,6.528308253837778,-0.3888888888888889,-1.6760419126112323,0,0.8817460317460318,-0.8091337992940097,-0.11997040591059198,0.9717395967395968,-2.5695122107118062,2.960101869313283,-0.620195661343815
Belgium,0.6679605500416493,1.526533853395214,2.2763270411354037,1.30841360368166,-0.33928923112973175,-1.4301127989350066,0,-0.6520376445181195,0.8049734527957523,-0.4985518381005274,-0.5234024624233774,2.0773809523809526,-0.16236344671718086,-1.673947942505329,-0.9276950202740563,0.2999586036459083,1.1490684526748391,0.7411951788129535,0.24039366361945494,-0.6730920121420764,-0.2936199291413461,0.3036483131778067,-0.008088513739647559,-1.117285366771757,0.24521462199617025,-1.1686349436829828,-0.19530951601934948,-0.5619000350997115,-1.7548724063326115,-0.18372470449277933,1.3334377303628218,0.7559710272001334,-0.9627583103110088,-0.38521074880644046,-0.4441502740144463,-2.0037136945337255,-0.3888888888888889,-0.6224865301620944,-0.5984848484848485,-0.1842994700107029,0.8713948496897195,0.28743558005694664,0.37829887630257053,1.3121848941311167,-1.993237123426343,0.3461024149878076
Bosnia,1.3773987005203496,-1.9958127024879275,3.7682926829268295,0.4909170486765848,0.4551900220935615,-0.04934210526315788,-0.46775189558019864,0,0.1957317073170731,4.755173566520371,-0.36737588595272846,5.5,-1.8471287473702775,-1.5449171636069832,-0.08046409833404926,0.6392409253820052,-1.3639950995374617,-0.39577877170200404,-0.6175259203178415,-1.4306427032036786,-1.7280749456901843,-0.5162165131012035,0.48673112821636577,0.5975341686194682,-1.6214280288688205,-1.202139608555303,5.545949449699216,0.41495847993316715,-1.4417008753795844,5.241161616161616,0.15704853405875865,-0.7895831599917489,0.1953409140314056,-0.6378045546998566,-1.2295892291784216,-2.0282823856138386,0,6.659660844235085,-0.7443181818181819,4.245819875776397,-0.4271804701005914,-0.5197944072473766,-0.09742978749189934,2.4750752451207023,-0.4278761258075801,-0.6185744984429771
Bulgaria,0.6051972855200436,5.102353444587077,-0.506678281068525,5.340301974448316,2.210160614952014,-0.2772464698331194,0.18335472828412502,-1.1558800422006454,0,-1.2515026459386216,0.2280983532588156,2.0773809523809526,-1.6845938192456165,-2.2554636082075104,-0.6597951942865294,-0.8557869028023071,-0.21425143870128285,0.1961130661194846,5.208708557264399,-0.7576316517908303,-1.116849542555576,-0.6627872399494672,-0.0558804148662942,-3.1981410164978845,-1.8368496545325812,1.0713297471320578,4.524486834395371,0.03979515917898446,-1.421539072999278,0.36111111111111116,1.5422575155984115,-2.417324076406233,1.3024390243902442,-3.3231399491760762,-0.47490402060363546,-0.12383922316528215,0,0.712525928642745,0,-1.3648809523809524,0.06622730744681961,-2.046741339332574,-1.445087945087945,3.130641507085666,-0.5653703868915679,0.26191570077321047
Croatia,1.9854299777712145,-1.8976465554129223,2.8266550522648086,-0.7968069492107294,-0.5898393850479857,0.5227535301668806,-1.0946665372369275,5.907375431742318,1.3764020242243238,0,0.5751332339064366,5.0773809523809526,-1.5154362936665773,-1.7695583023080372,-0.2187714401505153,0.11110683870174029,-0.7856800101298543,-0.7727546369347374,-0.5144574236250562,1.9103125462624821,-1.1949103349516286,-0.6921925868632781,0.3274453582329776,0.2269086870228243,-1.1505895738080252,0.8544954977839947,5.668520058288904,1.3944274244731731,-0.7548724063326114,6.241161616161616,0.034256801405935663,-0.5481943363037521,-1.2288494444340932,-0.3870236420488541,-1.4518001393033804,-0.1473093872967852,0,3.749679218876325,2.0593434343434343,3.3250812231247013,-0.28848556741635784,-1.6235178760037026,-0.07194439954364347,0.6231740935136216,-0.9846693725167813,0.0499386551611163
