,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Albania,0.0,3.480447905312074,3.011736945802341,1.3553875089325804,1.7126043328766067,0.34611989300743756,1.4829797718172726,3.5239924268373937,3.2524946705616014,0.3064118236073811,3.283177361861358,0.9226190476190477,1.4887556926223846,1.5825814468764876,2.2916288299956085,2.744689989083605,0.7961709527830056,1.9166022289237226,3.268315606888616,2.479600146093725,0.7477904541596029,2.114284841321973,1.3011488232250528,1.500311565066556,1.3807426139743701,1.0663611703014302,2.835030433374818,1.3170719920345755,1.4738361506675852,2.383956617574205,1.9288932091477498,1.4727265604858972,0.9640811925642859,1.0911941023332496,1.4864878195559559,2.070200963556191,0,2.3597904250090163,0.0,0.6667753123866875,3.947879160264435,2.612021099771867,1.0967353949836292,1.4815121546955774,2.386331911199548,2.6327574988580595
Armenia,0.49166166516396664,0.0,1.5924198593480827,2.62185537764522,1.7472286484548882,3.3798629503478304,2.4936169916354602,0.6748119589723619,4.134835969220992,0.8365658514126998,2.6010766829629923,1.0773809523809523,1.2533276107719011,1.0457486453631004,2.2916288299956085,2.4669531194428695,1.969286886502574,2.2362956856208767,2.656653826304246,0.9830779767975675,0.4621520567670238,1.129375433413643,1.6633632632859185,1.3896163420878218,0.6495024284142885,1.1183781950451113,3.5236111111111112,3.0156298848216214,3.4256772174194885,2.0502136752136746,1.6772774450574162,2.1567241556965095,1.0115724457805764,1.864730881092433,0.9670873270379606,4.308744962348049,0,0.5755798303140138,0.0,0.6667753123866875,1.5983024282247005,4.053423136428503,1.7848773268856486,1.4360582753819573,4.392783428509833,1.3150828123774627
Australia,0.6216323351090528,1.397146498596698,0.0,1.4614254163473666,0.07723751938128437,0.0,6.422364672656949,0.0,2.5621432508339756,0.8353658536585366,1.9771344863469942,0.9226190476190477,3.375725900116144,2.2633460645671972,0.0,2.0662929359871414,0.45283135955911485,2.7267967260835353,0.16465254838135782,0.6711635957144557,0.0,0.0,3.9582567293183195,1.6329676956794636,1.8104410019873205,2.165751976760488,0.0,0.0,2.9635598141695705,0.0,1.503027076013952,1.2855879039488103,1.8067970674067309,0.889808362369338,1.1981163055001582,3.8742729893529346,0,2.00610878611244,0.0,0.11223917161691233,2.7718400372431837,4.526154169172136,0.0,0.0,1.7194447819798815,4.598317564057825
Austria,2.1451342250472503,2.7096315835320595,3.9009437561012317,0.0,2.6825477508093156,4.023058479065491,1.6931581826435411,3.9560161428018743,3.137199021718783,3.071734306653831,1.752383641887224,1.9226190476190477,2.5164225595074963,1.627193435525024,1.5960626122130344,2.895415537196328,0.5837431189313474,3.803919841070065,1.8469567793159267,1.8211036699101237,2.2999247879587505,2.7234351310217253,2.9625598759801597,2.8611651877253212,2.1832204667769113,0.6955109332147525,2.0244045679921743,3.466122314919768,2.147029632755785,3.295193175207238,3.6769671166828584,2.3861472153751,3.071246062201674,1.8490081454687175,2.6080184266898057,2.3741845161348514,0,3.3805540761199513,0.11931818181818182,2.2988949122213658,2.2815719322534367,3.0584740224534426,3.4720407595149507,2.508092407672538,2.3304715238147535,3.2452020786973748
Azerbaijan,5.202964889488059,1.4971967859490383,1.837845858566405,2.0409671081515524,0.0,4.240718387800277,1.3121258220139935,1.0769455620032642,4.337886098397118,1.7502423187803833,0.5084501585799481,1.4226190476190477,0.9807272470671361,1.278856672952181,0.5498178577168624,1.00618729425371,4.0553526317872235,1.4940628831107405,2.9382720004564646,3.3098088118284603,1.38050206027983,0.9668429429611094,3.5023123312696756,1.4406890284499791,0.8628033162700874,1.988354420021627,0.0,2.319246536737103,2.714766456156192,0.9497863247863247,1.6294330143451181,1.0144528062719462,2.552301839582259,0.372027661026426,2.220644305373404,3.5840835259491626,0,4.63856163126032,0.0,1.3856160986323434,0.8572549079177273,1.4159553716720277,0.6626984126984127,0.735497911565756,1.9541568411149841,1.4823061724298963
Belarus,2.940105841186176,2.0310499454140327,2.066344635721529,3.989214249270726,2.236804533349793,0.0,2.7364664920216963,0.5649779861582602,3.296148460994161,1.6726025020982322,3.0743745503978994,1.5773809523809523,2.254864248110516,2.3368538970158625,0.5401230212006681,1.634625287399654,3.441170003039182,2.369272086691279,2.675940443697014,1.0303530839431478,1.109046107239739,0.9754749870440735,3.4449508805076117,1.5595619698725527,1.3424656493364557,3.1082589415570894,0.8025881993567291,1.8928650546788663,3.402330884261434,0.1841719784495123,2.4503062643850773,2.7319596220641964,2.42827441501674,0.8477957616048866,0.9693403596788042,2.3514746841651433,0,1.3010942374751981,0.0,2.164684540176283,0.6763956287141637,2.869357467912893,3.393088484232446,1.2150620704142259,3.256511485785558,0.40581557087509185
Belgium,2.9284622138662817,4.27309876267925,3.0325082344318863,2.996075052967041,2.2279398369399037,1.0136575155461796,0.0,2.4326987119941275,1.9257784766430233,2.414705971346092,2.3580597238223446,1.5773809523809523,2.664364896503832,1.463610253670252,1.9075056461449718,3.3693675252497783,3.17969189093057,2.246693464478149,2.9217567493950902,1.4458315465408909,2.5158326106205418,3.46059920996172,2.673960470878894,3.547825449389881,2.327105198442247,0.8238837936326431,2.546368860470654,2.279280844526116,1.9728002746622573,3.0446695603491025,4.318358801261812,2.583023488876038,1.044399143757813,1.6509327657407102,3.1366491062205353,2.285775179671486,0,2.672829945522167,0.26515151515151514,2.348909963091731,2.578540452589225,3.0702348238254515,3.382120034602345,3.1504377356267463,1.8355493472095123,3.0757608176908127
Bosnia,1.785057214194678,1.66394634641378,0.0,3.0304542827744343,2.441937409341376,0.42434210526315785,1.8927538062143956,0.0,1.3288433534249633,3.828778306546736,3.011702400676749,0.0,2.2372582881568857,2.712438924769122,1.5263119078864682,3.057172542783321,0.932712306373563,1.8238752916709338,1.686219250879168,0.8019093762959968,1.6052036083065782,2.404382420607919,2.9855237975000586,2.746514316388599,1.0623598034364936,1.2558620203920308,3.35853424424835,3.6174381223947663,0.8823863890410423,1.1199494949494948,2.0460536576113624,1.9411335527022666,2.898577534100892,1.539165713255757,1.776063160908771,0.8545681040550114,0,1.7509844195209143,0.11931818181818182,2.9823890000114055,1.7718758882433814,2.9492216056179683,2.5345458276870967,3.0080246508473643,2.894497969390437,2.164632434702018
Bulgaria,2.738914044553446,2.2110328244072206,1.6529561170232272,5.08628604676954,3.9652838048009666,1.4373858289481374,5.44818150042976,1.3851292688884063,0.0,0.30121169209322507,3.3794626887186348,2.5773809523809526,2.1648891740189775,1.065023677034706,1.4203929999516867,1.793635814309318,1.922393914865941,3.3859781078397018,2.896821226685184,1.9686396407475524,0.42369765890948,0.6910179761074673,3.6701361965297394,1.0490055885210494,0.9978894886466582,3.7402172975899868,2.8441678981740344,3.5814375582095788,2.030530170290376,0.0,4.307252408176427,1.8951094403674869,4.113336357566915,3.760787537405965,2.431492640114039,1.5979287916437002,0,2.805673822140787,0.0,0.6435035881126322,1.269894423129149,1.8778804452726843,1.2554285075699847,1.8856561410661645,3.22631254449304,2.660416570877923
Croatia,2.515515324357663,1.9032855400065096,2.9340695490015003,1.7575112049189467,2.9758235461683737,3.013283551961467,2.3648628527581237,3.067298417821503,3.423765314113404,0.0,3.0471446405965557,4.4226190476190474,2.364190919964405,2.4351456062307366,1.3915411487456695,2.715872741326937,1.8310487021862527,2.0770513869330567,2.2000492823488766,3.4174433433498934,1.842769138319377,2.4543466378365175,3.042386977202491,3.4179994547810915,2.717430986546849,3.7151917112609203,1.7470821866280977,3.45953564633984,3.2214067274001428,2.119949494949495,2.4639017501068343,2.6384116067642522,1.181496414111404,1.8631677816007965,2.252396811770161,2.5713480963510773,0,3.3138740928283386,3.9661729834796913,3.777648650086068,1.9552744723914615,2.459151932010164,2.0295324160189505,3.5028946145656836,2.8132827181991393,2.55943567745126
