,Finland,France,Germany,Ireland,Israel,Italy,Malta,Norway,Portugal,Spain,Sweden,Switzerland,Netherlands,Turkey,United Kingdom,Macedonia,Serbia,Montenegro,Slovenia,Bosnia,Croatia,Belgium,Greece,Austria,Denmark,Cyprus,Iceland,Estonia,Hungary,Lithuania,Poland,Romania,Russia,Slovakia,Latvia,Ukraine,Albania,Moldova,Armenia,Belarus,Bulgaria,Georgia,Azerbaijan,San Marino,Australia,Czech Republic
Albania,9,18,18,9,12,11,9,14,7,18,17,4,9,8,18,5,12,4,6,9,9,8,14,10,13,11,8,7,13,11,8,14,14,0,7,17,0,12,12,6,7,8,12,1,7,4
Armenia,9,15,15,7,11,10,6,11,7,15,14,3,8,5,15,2,9,2,6,6,7,7,11,9,11,8,6,6,11,10,7,11,11,0,6,14,6,10,0,6,7,8,11,1,7,4
Australia,2,7,7,2,7,7,2,5,4,7,7,0,6,0,7,0,5,1,3,0,4,5,3,7,4,7,0,3,7,5,5,3,3,0,3,6,3,4,5,2,6,3,5,0,0,4
Austria,28,39,39,31,29,27,18,35,28,40,39,26,31,26,40,18,22,16,25,25,27,31,31,0,30,30,20,13,16,13,13,14,16,2,8,14,6,9,8,5,7,6,9,1,7,4
Azerbaijan,7,14,14,6,10,11,6,11,7,14,13,2,8,4,14,1,9,2,5,5,6,7,10,9,11,9,7,7,11,9,7,10,10,0,4,13,7,9,10,5,6,7,0,1,7,4
Belarus,9,18,18,9,12,11,9,14,7,18,17,4,9,8,18,5,12,4,6,9,9,8,14,10,13,11,8,7,13,11,8,14,14,0,7,17,9,12,12,0,7,8,12,1,7,4
Belgium,32,43,43,33,35,27,20,39,31,44,42,27,31,31,44,21,25,17,26,28,30,0,34,34,33,30,21,13,15,14,13,18,18,2,10,18,9,12,12,6,7,8,12,1,7,4
Bosnia,22,32,32,26,25,16,19,28,24,33,31,21,22,28,33,6,9,2,10,0,16,23,26,24,24,24,21,10,9,12,11,12,17,2,9,12,6,7,7,2,3,6,7,0,2,2
Bulgaria,8,15,15,8,11,9,7,11,7,15,14,3,7,7,15,4,10,1,4,8,8,6,11,7,12,9,6,6,11,10,5,11,11,0,6,15,7,12,10,5,0,7,10,0,6,4
Croatia,27,39,39,31,31,21,22,35,29,40,38,23,29,30,40,8,11,2,13,18,0,28,30,29,30,30,23,15,15,15,14,17,19,3,10,17,8,12,10,5,7,7,10,0,6,4
