ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,51,,,,,,,,,,,,11,,,,33,,,,,,,,
2,,,,,,,,62,,,98,,,,,,100,,,,,,,,
3,,,,,,,,12,,,,,,,,,,,17,,,,,33,
4,,,,43,,,,,,,,,,,,,,,,,43,,8,,
5,,,,,,,,,77,,,,,,,,,,,34,,,51,,
6,,,,,53,,,,,,67,,,,,,,52,,,,,,,
7,33,,,,,,,,,,,,8,,,,,,,,48,,,,
8,,,,,,,59,,,,,,,,,,44,,,,,,,51,
9,,100,,,100,,,63,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,42,,,,,,53,24
11,52,,,,,,27,,,,,,,,,,,,,12,,,,,
12,,,,,,,,,,,,,,,80,58,,,,,,,,95,
13,82,,61,,93,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,17,,,22,,,,,,,,,,,44,
15,,,,,,,,,,,,,56,,,,,90,,,100,,,,
16,,,,,,,,,,,,,,,,5,,19,,,56,,,,
17,,,55,,,,,,,,,,,,,72,,,76,,,,,,
18,,30,,,,,,,,26,,,,,25,,,,,,,,,,
19,,,,,,,,,35,24,,21,,,,,,,,,,,,,
20,,70,,,,,,,,,,,,,,,,,,30,,,,,22
21,,,,,,,,,,,,,,,59,,,,,40,,,49,,
22,,,,,,100,,,,,,,,,,,100,,,,,,,,59
23,,,,,,,,,,,,,,,,,,,,49,,81,,,28
24,,,,89,,,,,,,94,,34,,,,,,,,,,,,
25,,,,,,,,,,,,31,,,,,,,,,,,24,48,
26,,,,,,100,,,,,,,,,,,,,,44,,,,,44
27,,64,,,,,,,,,,,,,,,76,,,,,,,,20
28,,,,,,,83,,,43,,,,,,,,,,,,,,72,
29,,,,,,,25,,,11,,,,,,17,,,,,,,,,
30,,25,,,,,39,,,,,,,,,,,,,,,,32,,
31,,,,,,,,,68,,,,,,,34,,,,,59,,,,
32,,,,,,,,,,,,,,72,45,,60,,,,,,,,
33,,21,,,,,,,,,,,,,,,18,,,,,57,,,
34,,,,69,,,,,,,,,,,,,,,,,,85,,69,
35,,,19,,,,,,25,,,,,,,10,,,,,,,,,
36,49,,,,,,,,,,,,,,,,40,,,,,,21,,
