ID,sc1,sc2,sc3,sc4
1,,3,4,3
2,2,3,,3
3,2,,2,3
4,,4,3,3
5,2,2,,2
6,2,,3,3
7,4,,3,3
8,1,1,2,
9,2,2,2,
10,,3,3,2
11,2,2,2,
12,,3,3,3
13,,3,2,2
14,2,3,2,
15,2,2,2,
16,,2,1,2
17,,4,1,2
18,4,3,2,
19,4,3,,2
20,4,3,,2
21,,3,2,2
22,3,,2,2
23,2,3,,2
24,2,2,1,
25,2,2,,1
26,3,,1,1
27,3,,1,2
28,2,2,,1
29,3,3,2,
30,2,,2,2
31,,2,2,2
32,1,1,1,
33,2,,2,2
34,2,2,,2
35,2,2,,1
36,,3,3,2
37,3,4,,3
38,3,3,,2
39,1,2,,2
40,2,2,,2
41,2,2,1,
42,1,,2,2
43,2,,3,3
44,1,1,1,
45,0,0,,0
46,1,,1,1
47,2,2,,2
48,,1,1,2
49,1,1,2,
50,3,,3,3
51,4,4,2,
52,,3,3,2
53,3,3,,3
54,3,,3,3
55,1,1,1,
56,3,3,,2
57,3,,3,3
58,,4,3,2
59,3,,2,2
60,,3,2,2
61,3,3,2,
62,0,,2,2
63,3,3,2,
64,,3,2,2
65,2,2,2,
66,,3,2,2
67,,3,3,3
68,3,3,3,
69,2,,2,2
70,2,,2,2
71,,3,3,3
72,2,,2,2
73,,0,0,0
74,2,2,,3
75,3,,4,4
76,,3,2,2
77,3,,3,3
78,2,3,,2
79,,2,1,1
80,2,,2,2
81,2,2,,2
82,3,3,,3
83,,3,3,4
84,,2,2,3
85,2,,1,1
86,3,,2,3
87,2,2,,2
88,2,3,3,
89,,2,1,1
90,3,3,,2
91,2,,5,5
92,4,,3,3
93,2,2,2,
94,,0,0,0
95,,3,4,4
96,4,3,4,
97,2,2,2,
98,3,,4,4
99,3,3,,3
100,2,2,,3
101,2,,2,2
102,,3,3,3
103,2,3,3,
104,3,3,3,
