ID,sc1,sc2,sc3,sc4
1,3,3,2,1
2,2,2,4,4
3,2,2,4,4
4,3,3,4,4
5,1,2,2,1
6,2,2,4,3
7,3,4,4,4
8,1,1,1,1
9,2,2,1,1
10,3,2,4,4
11,1,2,3,2
12,2,3,4,4
13,3,2,4,4
14,3,3,3,4
15,3,2,3,3
16,1,1,2,1
17,3,3,1,1
18,3,3,1,2
19,3,3,1,1
20,3,3,2,2
21,4,3,2,2
22,3,2,1,2
23,3,2,2,2
24,3,3,2,2
25,1,1,1,1
26,3,3,1,1
27,4,4,2,2
28,2,2,1,1
29,2,3,2,1
30,3,2,1,2
31,2,2,2,2
32,1,1,1,1
33,2,1,3,2
34,2,2,2,2
35,2,1,1,1
36,3,3,3,3
37,4,3,3,4
38,3,2,3,3
39,2,2,2,2
40,2,2,3,3
41,1,1,2,1
42,1,1,2,2
43,3,2,4,4
44,1,1,2,1
45,0,0,0,0
46,1,1,1,1
47,2,1,2,2
48,1,1,1,2
49,1,1,1,1
50,3,3,4,4
51,2,2,2,2
52,3,3,2,2
53,4,4,4,3
54,3,3,3,3
55,1,1,1,1
56,3,3,2,2
57,4,4,3,3
58,5,4,4,4
59,2,2,2,1
60,3,3,2,2
61,3,2,2,2
62,2,2,2,2
63,4,3,2,2
64,4,4,3,2
65,3,2,2,2
66,4,3,3,2
67,4,4,4,4
68,4,4,3,2
69,3,3,2,3
70,3,4,2,2
71,4,4,3,3
72,2,3,2,2
73,0,0,0,0
74,3,4,3,3
75,4,4,5,5
76,4,4,4,3
77,3,4,4,3
78,3,3,2,2
79,3,3,2,2
80,2,3,3,2
81,3,3,3,3
82,3,3,3,4
83,4,4,3,4
84,3,3,1,1
85,2,2,1,1
86,3,4,3,3
87,2,2,3,3
88,3,3,5,5
89,1,1,1,1
90,3,3,2,2
91,3,3,4,4
92,4,4,4,4
93,1,2,1,1
94,0,0,0,0
95,3,3,4,4
96,3,3,5,5
97,2,1,2,2
98,3,3,5,5
99,3,3,4,4
100,3,3,3,3
101,2,2,3,2
102,4,3,3,3
103,2,2,3,3
104,4,3,4,4
