ID,sc1,sc2,sc3,sc4
1,4,4,4,4
2,2,2,4,2
3,2,2,4,2
4,3,3,5,5
5,1,2,3,2
6,2,2,3,2
7,3,3,5,2
8,1,1,2,1
9,1,2,3,1
10,3,3,4,3
11,2,2,3,2
12,2,3,4,2
13,2,2,4,2
14,2,2,4,2
15,2,2,3,2
16,2,2,1,1
17,4,3,1,1
18,4,3,2,2
19,3,3,1,1
20,3,2,1,2
21,4,4,2,1
22,3,2,2,1
23,3,2,2,2
24,2,2,2,2
25,1,1,1,1
26,2,1,1,1
27,4,3,2,2
28,2,1,1,1
29,3,3,1,1
30,2,1,2,1
31,2,2,2,2
32,1,1,1,1
33,1,1,2,2
34,1,2,1,3
35,1,1,1,1
36,3,3,3,3
37,2,3,3,4
38,2,2,3,3
39,2,2,3,3
40,2,1,4,4
41,1,1,2,1
42,2,1,1,1
43,2,2,4,4
44,1,1,2,2
45,0,0,0,0
46,1,1,1,1
47,1,1,2,2
48,2,1,2,2
49,1,1,1,2
50,4,4,4,4
51,3,3,2,1
52,3,4,2,1
53,4,5,3,4
54,3,4,2,2
55,2,2,1,1
56,4,4,2,1
57,5,5,3,3
58,5,4,4,4
59,4,4,3,1
60,3,3,2,2
61,3,3,2,1
62,2,2,1,1
63,5,4,3,1
64,4,5,2,2
65,3,2,1,1
66,4,4,2,1
67,5,4,4,4
68,3,4,3,2
69,3,4,2,2
70,4,3,2,2
71,4,4,4,3
72,2,3,2,2
73,0,0,0,0
74,3,3,3,2
75,3,3,5,4
76,4,4,4,3
77,3,4,3,3
78,2,3,2,1
79,3,3,2,2
80,3,3,3,3
81,2,3,3,2
82,4,4,3,3
83,3,4,3,2
84,3,3,1,1
85,2,2,1,1
86,3,4,2,2
87,2,2,5,5
88,3,2,5,5
89,1,1,1,1
90,4,3,3,3
91,3,2,4,4
92,4,3,5,5
93,1,1,1,1
94,0,0,0,0
95,4,3,4,4
96,4,3,4,4
97,2,1,2,2
98,3,2,5,5
99,4,2,4,4
100,3,3,5,5
101,2,1,3,4
102,4,3,4,4
103,2,1,2,2
104,4,4,5,5
