Project ID,Average score
1,32.56
2,83.6
3,14.36
4,25.04
5,54.72
6,50.96
7,18.88
8,44.04
9,88.24
10,42.56
11,29.72
12,81.48
13,79.88
14,37.16
15,85.28
16,19.8
17,74.48
18,32.56
19,35.72
20,63.2
21,65.4
22,85.28
23,60.84
24,68.36
25,33.44
26,86.68
27,63.92
28,61.6
29,21.92
30,39.48
31,50.36
32,53.96
33,26.64
34,59.24
35,26.64
36,32.56
37,68.36
38,31.96
39,81.48
40,31.28
41,78.44
42,62.36
43,66.2
44,85.28
45,22.76
46,70.64
47,60.84
48,16.72
49,58.56
50,50.96
51,77.56
52,34.16
53,26.64
54,58.56
55,33.44
56,34.16
57,79.88
58,37.16
59,38.84
60,26.64
61,83.6
62,53.96
63,79.24
64,73.72
65,56.28
66,78.44
67,35.72
68,60.12
69,42.56
70,47.12
71,78.44
72,18.24
73,79.88
74,16
75,74.48
76,29.72
77,56.92
78,54.72
79,63.2
80,87.28
81,18.24
82,82.08
83,54.72
84,14.36
85,34.96
86,80.56
87,43.44
88,39.48
89,84.44
90,48.68
91,13.64
92,16.72
93,60.84
94,47.12
95,16.72
96,15.04
97,69.36
98,49.4
99,25.84
100,39.48
101,56.28
102,15.04
103,44.04
104,33.44
105,56.92
106,78.44
107,38.84
108,12.08
109,22.76
110,20.48
111,73.72
112,79.88
113,73.72
114,50.96
115,82.08
116,53.96
117,18.24
118,36.4
119,59.24
120,49.4
121,47.92
122,74.48
123,60.12
124,76.84
125,47.92
126,21.08
127,47.92
128,86.68
129,34.16
130,34.16
131,25.84
132,55.52
133,79.24
134,15.04
135,54.72
136,16.72
137,42.56
138,48.68
139,37.16
140,86.68
141,17.44
142,43.44
143,72.2
144,45.6
145,18.88
146,12.08
147,81.48
148,37.96
149,15.04
150,24.32
151,17.44
152,86.68
153,44.04
154,80.56
155,14.36
156,13.08
157,14.36
158,34.96
159,41.08
160,13.64
161,69.92
162,53.2
163,75.32
164,76
165,34.96
166,53.2
167,85.28
168,47.92
169,49.4
170,60.12
171,55.52
172,60.12
173,47.92
174,20.48
175,14.36
176,36.4
177,34.96
178,18.88
179,13.64
180,28.16
181,13.64
182,14.36
183,59.24
184,53.2
185,83.6
186,84.44
187,44.04
188,81.48
189,88.24
190,23.6
191,43.44
192,43.44
193,87.28
194,22.76
195,76
196,34.16
197,31.96
198,79.24
199,28.16
200,62.36
201,18.24
202,41.8
203,25.04
204,34.16
205,87.28
206,80.56
207,52.44
208,40.24
209,41.08
210,75.32
211,47.92
212,37.16
213,87.28
214,44.04
215,30.4
216,57.76
217,31.96
218,32.56
219,27.28
220,46.48
221,60.12
222,56.28
223,37.96
224,79.88
225,15.04
226,44.04
227,36.4
228,41.8
229,25.84
230,13.08
231,81.48
232,16.72
233,58.56
234,28.8
235,46.48
236,67.8
237,63.92
238,44.04
239,86.68
240,42.56
241,42.56
242,42.56
243,68.36
244,65.4
245,86
246,80.56
247,53.2
248,73.04
249,36.4
250,73.72
251,34.16
252,76
253,44.04
254,40.24
255,63.92
256,72.2
257,16.72
258,32.56
259,48.68
260,53.2
261,63.92
262,63.2
263,14.36
264,63.92
265,50.96
266,68.36
267,61.6
268,18.88
269,72.2
270,21.08
271,82.92
272,55.52
273,25.04
274,15.04
275,13.08
276,54.72
277,27.28
278,45.6
279,53.96
280,51.64
281,37.96
282,18.88
283,20.48
284,21.08
285,66.2
286,53.2
287,74.48
288,16.72
289,62.36
290,84.44
291,70.64
292,21.08
293,46.48
294,84.44
295,32.56
296,62.36
297,47.12
298,75.32
299,27.28
300,27.28
301,67.8
302,41.08
303,66.2
304,79.88
305,82.08
306,58.56
307,82.92
308,44.84
309,21.08
310,54.72
311,40.24
312,15.04
313,78.44
314,59.24
315,72.2
316,63.92
317,25.84
318,78.44
319,12.08
320,50.96
321,16.72
322,29.72
323,61.6
324,66.2
325,66.2
326,54.72
327,46.48
328,31.96
329,76
330,30.4
331,61.6
332,13.08
333,77.56
334,41.08
335,41.08
336,61.6
337,16.72
338,53.96
339,62.36
340,86
341,68.36
342,55.52
343,59.24
344,55.52
345,31.28
346,18.24
347,57.76
348,86
349,88.24
350,87.28
351,44.84
352,72.2
353,41.8
354,80.56
355,20.48
356,18.88
357,26.64
358,38.84
359,13.64
360,13.08
361,21.08
362,31.28
363,35.72
364,69.92
365,66.88
366,41.8
367,79.24
368,57.76
369,54.72
370,66.2
371,62.36
372,50.36
373,56.92
374,31.96
375,83.6
376,16
377,62.36
378,47.92
379,56.92
380,12.08
381,77.56
382,18.24
383,34.96
384,56.28
385,86.68
386,29.72
387,39.48
388,25.84
389,79.24
390,50.96
391,71.52
392,21.08
393,17.44
394,69.36
395,68.36
396,43.44
397,88.24
398,50.36
399,79.24
400,28.8
401,87.28
402,27.28
403,56.92
404,76.84
405,29.72
406,27.28
407,48.68
408,73.72
409,34.96
410,70.64
411,75.32
412,27.28
413,41.8
414,62.36
415,38.84
416,57.76
417,63.2
418,66.2
419,61.6
420,56.28
421,64.64
422,74.48
423,80.56
424,82.92
425,41.8
426,66.2
427,57.76
428,42.56
429,21.08
430,27.28
431,32.56
432,60.12
433,52.44
434,28.16
435,74.48
436,63.2
437,67.8
438,28.16
439,79.24
440,25.84
441,68.36
442,82.92
443,35.72
444,43.44
445,86.68
446,13.08
447,83.6
448,87.28
449,25.84
450,30.4
451,75.32
452,23.6
453,17.44
454,37.96
455,65.4
456,73.04
457,22.76
458,59.24
459,48.68
460,83.6
461,37.96
462,30.4
463,31.96
464,84.44
465,17.44
466,55.52
467,68.36
468,53.96
469,12.08
470,56.28
471,36.4
472,67.8
473,16
474,60.84
475,82.92
476,63.92
477,67.8
478,35.72
479,63.2
480,74.48
481,44.84
482,71.52
483,27.28
484,68.36
485,13.08
486,86.68
487,47.12
488,45.6
489,86.68
490,76.84
491,73.04
492,76.84
493,14.36
494,73.04
495,61.6
496,72.2
497,31.28
498,81.48
499,28.16
500,18.88
501,18.24
502,66.2
503,69.36
504,66.88
505,26.64
506,13.64
507,27.28
508,35.72
509,54.72
510,13.64
511,36.4
512,13.64
513,20.48
514,84.44
515,25.84
516,60.84
517,44.04
518,38.84
519,12.08
520,63.92
521,76.84
522,66.88
523,32.56
524,81.48
525,43.44
526,26.64
527,81.48
528,87.28
529,49.4
530,78.44
531,70.64
532,75.32
533,56.92
534,12.08
535,29.72
536,79.88
537,28.16
538,37.16
539,53.96
540,44.04
541,18.24
542,55.52
543,73.04
544,28.8
545,53.2
546,23.6
547,28.16
548,79.88
549,29.72
550,70.64
551,77.56
552,55.52
553,79.24
554,63.2
555,60.84
556,66.2
557,16
558,82.08
559,22.76
560,81.48
561,37.16
562,76
563,76
564,37.16
565,79.88
566,72.2
567,28.16
568,33.44
569,15.04
570,75.32
571,56.92
572,28.8
573,66.88
574,56.92
575,53.96
576,17.44
577,18.88
578,19.8
579,34.16
580,82.92
581,37.16
582,35.72
583,46.48
584,50.36
585,47.92
586,37.16
587,86.68
588,13.64
589,60.84
590,39.48
591,42.56
592,25.04
593,88.24
594,29.72
595,87.28
596,65.4
597,26.64
598,79.88
599,63.2
600,44.04
601,25.04
602,25.84
603,52.44
604,26.64
605,69.36
606,61.6
607,17.44
608,80.56
609,41.08
610,69.36
611,72.2
612,25.04
613,25.84
614,45.6
615,43.44
616,53.2
617,62.36
618,47.12
619,67.8
620,33.44
621,61.6
622,57.76
623,43.44
624,35.72
625,12.08
626,73.04
627,51.64
628,23.6
629,71.52
630,44.04
631,80.56
632,34.96
633,38.84
634,72.2
635,69.36
636,70.64
637,36.4
638,34.16
639,69.92
640,21.92
641,48.68
642,48.68
643,63.2
644,25.84
645,31.28
646,17.44
647,76
648,22.76
649,59.24
650,82.92
651,37.16
652,38.84
653,37.96
654,23.6
655,76.84
656,77.56
657,67.8
658,20.48
659,79.24
660,25.84
661,41.8
662,37.16
663,73.72
664,20.48
665,64.64
666,82.08
667,41.08
668,26.64
669,24.32
670,42.56
671,63.2
672,27.28
673,48.68
674,51.64
675,32.56
676,80.56
677,50.96
678,67.8
679,47.12
680,25.84
681,36.4
682,16
683,76.84
684,31.28
685,19.8
686,13.64
687,28.16
688,28.16
689,56.28
690,67.8
691,68.36
692,37.96
693,82.92
694,24.32
695,31.28
696,51.64
697,86
698,72.2
699,86.68
700,60.12
701,48.68
702,30.4
703,13.64
704,28.8
705,41.08
706,63.92
707,63.2
708,58.56
709,35.72
710,51.64
711,22.76
712,56.92
713,60.84
714,66.88
715,45.6
716,44.04
717,53.96
718,55.52
719,25.84
720,66.88
721,30.4
722,72.2
723,31.96
724,44.84
725,35.72
726,13.08
727,26.64
728,44.04
729,22.76
730,18.24
731,84.44
732,25.04
733,19.8
734,22.76
735,73.04
736,25.04
737,28.16
738,78.44
739,45.6
740,61.6
741,47.12
742,60.12
743,33.44
744,78.44
745,41.08
746,70.64
747,56.28
748,33.44
749,12.08
750,44.04
751,12.08
752,51.64
753,82.92
754,28.16
755,68.36
756,54.72
757,74.48
758,32.56
759,22.76
760,28.8
761,83.6
762,60.84
763,50.96
764,12.08
765,18.88
766,68.36
767,75.32
768,56.28
769,75.32
770,56.92
771,25.84
772,22.76
773,30.4
774,54.72
775,62.36
776,76
777,74.48
