ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,17,,36,44,20,,26,44,,,,,,20,,26,,,13,,,,,5
2,,,,,,,100,,,,,91,60,100,88,,97,,,68,,91,,92,35
3,28,0,,,,12,,,27,,33,,0,,,,16,,,1,32,,,,0
4,,,,,,10,,10,,8,,8,19,,,,9,11,,,44,48,,,4
5,80,,,,,48,74,,73,43,85,,,,,36,,,59,,79,81,,,
6,56,51,33,,,,,,62,28,,48,,,,46,,43,,24,,,,,17
7,,,,34,,8,20,,32,13,,9,,41,16,,,23,,0,,,,,
8,58,41,,51,60,,,34,,,,,26,,35,38,,,41,,,72,,,
9,92,,60,,,,,,90,76,,,,91,79,92,,,,57,100,100,,,
10,52,,,,,43,49,25,52,,76,,,,,,43,25,,16,,,,57,
11,35,24,,,,14,,,48,12,67,21,23,24,20,,,,,,,,,,
12,86,,,,,83,91,,,62,,91,,86,71,,,,,,,100,,89,50
13,,94,64,99,100,91,,,,57,,,,,68,,98,,,,98,,,,32
14,,,14,47,,,,17,40,29,47,,,40,37,,,,,,,,29,50,
15,,,52,,88,95,100,63,,75,,,,88,72,81,,100,,,,,,,
16,,0,,21,,1,,,40,,,1,,,,7,5,,6,,,,,23,6
17,94,,57,91,,81,94,,,,,81,67,,,58,,,,47,,93,,,
18,,27,,,39,26,52,,,26,,23,,42,22,,,,42,,,,16,,
19,,,13,,54,,,33,46,,59,,29,44,,,,,,,,,20,51,17
20,,,,67,,77,71,47,,,,,,72,,,70,,,41,,75,50,,22
21,,66,62,,89,60,,,74,37,88,,40,70,,,,,,,,,,88,
22,97,,,,91,,,66,,,,,65,,,76,100,94,,,,92,66,90,
23,83,63,,,82,,,46,79,,,61,,,,,72,55,,,84,,,,23
24,,,38,80,80,,,46,,,81,72,,,59,,,,,,,79,43,77,
25,,,30,,62,,45,29,47,,53,,26,,,30,25,,,15,,,,,
26,96,88,,94,,,100,,100,,,,,,73,,96,100,91,,,,,89,
27,,75,,,73,60,,,,,79,,39,,,46,75,73,,,,88,54,,
28,65,,,65,78,,,,,,,66,,75,51,,61,,79,,,81,,,21
