ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,40,22,98,60,,,,62,1,,,,,,,41,,,18,36,,0,,,
2,,,,,,,,100,,,,82,100,,85,,,,,68,49,33,100,38,83
3,3,,,,6,,0,78,,,,14,0,2,,53,,,,,,,2,11,
4,31,,75,,,,0,,4,,9,,,,,,,18,0,22,,1,,15,
5,57,,,,63,,,,,29,,56,,15,91,66,,,,18,23,,82,,
6,,,57,,84,,,71,58,55,,,60,,,,42,36,,,,,59,,55
7,,16,83,,,14,,88,0,,,,34,,66,46,,8,0,,,,,,
8,38,,,61,,20,,62,,34,21,,,,79,,,,,,,38,66,,51
9,,,,,100,26,,,,92,,100,,52,,97,60,,,,62,24,,,91
10,,,80,,,,,,,,,39,,,68,,32,,32,21,28,,61,13,67
11,13,,99,,,,,,,,22,,47,,50,,11,,,26,2,,34,,37
12,,63,85,96,,,,,,,,,,,,,46,85,21,74,68,,,0,92
13,68,,,95,99,,,,,34,,,,13,88,96,,93,29,,76,,,,
14,,22,,,,0,14,74,9,,,,,,,44,19,,,,39,14,,16,
15,71,99,100,,100,21,,100,,,,,,39,100,100,,,,,,,96,,
16,,,83,,,,,78,,,,2,,,,34,,4,2,,23,11,34,6,
17,,,,,70,,,95,24,,64,,100,,100,,57,72,,,,42,,,80
18,10,,,31,66,,,,,,,,,0,,,5,,4,,35,11,,16,54
19,,12,52,,,,11,58,,,,,,12,,47,18,22,,2,16,,,,
20,84,,,,95,15,29,75,,23,,,66,,,,45,,,,,13,,,78
21,,,,78,81,,,,,50,,72,,,100,,,61,14,48,,,,16,63
22,96,,100,,,17,41,,57,,33,100,,,,92,,,17,,,45,,,
23,,39,76,,73,,,73,,,47,,,36,,,,29,47,,,,66,16,
24,,,78,,70,1,,,47,59,,,67,,,71,,,,32,25,,,15,
25,23,9,,55,,0,19,98,2,12,,,,,92,,,,,16,,,,,
26,75,66,,,,55,,,,,,100,97,,100,95,85,46,,,,,88,,
27,,,,71,73,,0,,25,45,,,,13,85,,,71,,,,24,,,92
28,,43,,,,45,39,100,33,47,36,,77,,100,,,,,,,35,,,
29,,,72,,15,,10,,,0,15,13,,5,78,,,,,,,0,,0,
30,31,,,,,9,0,,,34,,32,,,,56,,48,,40,26,,69,,
31,,,84,,59,18,20,,,,,,52,,85,66,,,5,37,,,,,79
32,52,,59,,,8,,,,,,29,53,,76,59,55,,,,,12,,25,
33,,19,,43,,,,,21,,23,37,,,,,6,,9,28,,,29,25,
34,35,,84,,60,19,,82,28,24,,,47,,,65,,,44,,,,,,
35,,,,,36,,,,,0,24,,,13,32,,23,22,,,0,13,,,68
36,,,,51,,,5,,,23,1,,32,,79,,7,,7,,,,46,12,
37,,59,,,84,17,,100,14,,11,,,,75,,,,,69,43,,,19,
38,,10,79,80,,,,,,,,,,15,,35,17,26,,24,,2,63,,
39,50,,100,99,,,,,,,,,,18,,,,45,9,38,,33,100,54,
40,22,,,85,66,12,,66,,34,,,,,58,76,,13,,,,,49,,
41,,,,,79,,,92,60,,,,76,22,86,98,,,9,60,,,76,,
42,,,,,,20,,80,,34,21,,,,78,59,,63,34,34,,,,11,
43,64,,78,,,,,87,,70,,,69,,90,,,61,34,47,,28,,,
44,,,100,91,100,,27,,39,,,,,,,95,73,,47,59,,45,,,
45,,2,,,48,0,0,,,,21,,,,89,16,5,21,,0,,,,,
46,,,98,,,0,,,,74,,,94,11,71,67,,33,,,42,63,,,
47,52,,,100,90,,,,,,24,,76,24,,,,31,,32,,14,,54,
48,,,,31,37,0,,,0,17,6,,45,1,,,,,0,,,,3,,
49,,,94,70,,37,26,,35,,,,60,,,58,,,,45,39,,,,73
50,,33,,86,51,20,,87,,44,,,63,,,60,,30,,,,26,,,
51,,,97,,,,,100,,,,66,,33,100,80,41,,46,,,,,25,92
