,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1.0,0.89,0.8,0.95,0.92,0.93,0.86,0.93,0.92,0.77,0.78,0.93,0.86,0.92,0.93,0.92,0.92,0.89,0.9,0.86,0.91,0.87,0.96,0.96,0.92
1,0.89,1.0,0.92,0.95,0.97,0.9,0.94,0.97,0.88,0.89,0.95,0.98,0.93,0.99,0.92,0.9,0.93,0.95,0.86,0.85,0.94,0.96,0.93,0.94,0.78
2,0.8,0.92,1.0,0.91,0.85,0.96,0.87,0.96,0.89,0.87,0.83,0.75,0.88,0.81,0.9,0.85,0.87,0.93,0.87,0.88,0.95,0.71,0.9,0.86,0.83
3,0.95,0.95,0.91,1.0,0.9,0.98,0.91,0.92,0.95,0.92,0.9,0.95,0.83,0.94,0.96,0.91,0.93,0.9,0.95,0.68,0.84,0.87,0.77,0.96,0.89
4,0.92,0.97,0.85,0.9,1.0,0.92,0.93,0.93,0.98,0.92,0.93,0.94,0.92,0.96,0.96,0.94,0.96,0.89,0.95,0.86,0.95,0.91,0.86,0.89,0.95
5,0.93,0.9,0.96,0.98,0.92,1.0,0.97,0.91,0.96,1.0,0.96,0.99,0.98,0.99,0.93,0.95,0.94,0.9,0.95,0.8,0.82,0.9,0.91,0.97,0.8
6,0.86,0.94,0.87,0.91,0.93,0.97,1.0,0.93,0.91,0.9,0.96,0.9,0.97,0.94,0.93,0.96,0.95,0.91,0.93,0.89,0.93,0.95,0.82,0.87,0.7
7,0.93,0.97,0.96,0.92,0.93,0.91,0.93,1.0,0.85,0.98,0.9,0.93,0.89,0.95,0.9,0.96,0.97,0.98,0.95,0.84,0.91,0.93,0.93,0.82,0.86
8,0.92,0.88,0.89,0.95,0.98,0.96,0.91,0.85,1.0,0.89,0.96,0.96,0.96,0.92,0.95,0.81,0.84,0.88,0.86,0.83,0.96,0.82,0.95,0.93,0.89
9,0.77,0.89,0.87,0.92,0.92,1.0,0.9,0.98,0.89,1.0,0.86,0.87,0.84,0.94,0.93,0.94,0.89,0.95,0.96,0.86,0.95,0.92,0.86,0.83,0.9
10,0.78,0.95,0.83,0.9,0.93,0.96,0.96,0.9,0.96,0.86,1.0,0.86,0.79,0.88,0.87,0.87,0.94,0.93,0.97,1.0,0.8,0.92,0.81,0.75,0.76
11,0.93,0.98,0.75,0.95,0.94,0.99,0.9,0.93,0.96,0.87,0.86,1.0,0.93,0.53,0.93,0.96,0.92,0.97,0.98,0.92,0.94,0.99,0.93,0.93,0.92
12,0.86,0.93,0.88,0.83,0.92,0.98,0.97,0.89,0.96,0.84,0.79,0.93,1.0,-0.23,0.88,0.92,0.92,0.92,0.84,0.86,0.93,1.0,0.96,0.93,0.9
13,0.92,0.99,0.81,0.94,0.96,0.99,0.94,0.95,0.92,0.94,0.88,0.53,-0.23,1.0,0.94,0.96,0.95,0.89,0.89,0.66,0.74,0.84,0.95,0.94,0.9
14,0.93,0.92,0.9,0.96,0.96,0.93,0.93,0.9,0.95,0.93,0.87,0.93,0.88,0.94,1.0,0.95,0.97,0.98,0.97,0.9,0.88,0.87,0.95,0.94,0.82
15,0.92,0.9,0.85,0.91,0.94,0.95,0.96,0.96,0.81,0.94,0.87,0.96,0.92,0.96,0.95,1.0,0.98,0.94,0.87,0.72,0.93,0.9,0.92,0.88,0.88
16,0.92,0.93,0.87,0.93,0.96,0.94,0.95,0.97,0.84,0.89,0.94,0.92,0.92,0.95,0.97,0.98,1.0,0.9,0.98,0.89,0.82,0.9,0.93,0.95,0.68
17,0.89,0.95,0.93,0.9,0.89,0.9,0.91,0.98,0.88,0.95,0.93,0.97,0.92,0.89,0.98,0.94,0.9,1.0,0.93,0.92,0.97,0.97,0.91,0.96,0.91
18,0.9,0.86,0.87,0.95,0.95,0.95,0.93,0.95,0.86,0.96,0.97,0.98,0.84,0.89,0.97,0.87,0.98,0.93,1.0,0.87,0.96,0.93,0.94,0.92,0.8
19,0.86,0.85,0.88,0.68,0.86,0.8,0.89,0.84,0.83,0.86,1.0,0.92,0.86,0.66,0.9,0.72,0.89,0.92,0.87,1.0,0.95,0.94,0.91,0.9,0.83
20,0.91,0.94,0.95,0.84,0.95,0.82,0.93,0.91,0.96,0.95,0.8,0.94,0.93,0.74,0.88,0.93,0.82,0.97,0.96,0.95,1.0,0.82,0.96,0.91,0.9
21,0.87,0.96,0.71,0.87,0.91,0.9,0.95,0.93,0.82,0.92,0.92,0.99,1.0,0.84,0.87,0.9,0.9,0.97,0.93,0.94,0.82,1.0,0.9,0.96,0.76
22,0.96,0.93,0.9,0.77,0.86,0.91,0.82,0.93,0.95,0.86,0.81,0.93,0.96,0.95,0.95,0.92,0.93,0.91,0.94,0.91,0.96,0.9,1.0,0.94,0.72
23,0.96,0.94,0.86,0.96,0.89,0.97,0.87,0.82,0.93,0.83,0.75,0.93,0.93,0.94,0.94,0.88,0.95,0.96,0.92,0.9,0.91,0.96,0.94,1.0,0.78
24,0.92,0.78,0.83,0.89,0.95,0.8,0.7,0.86,0.89,0.9,0.76,0.92,0.9,0.9,0.82,0.88,0.68,0.91,0.8,0.83,0.9,0.76,0.72,0.78,1.0
